Run_Start,Run_End,Bunch_Spacing,Coin_Offset,nSkip,nWindows,Pion_Prompt_Peak,Kaon_Prompt_Peak,Proton_Prompt_Peak,RF_Offset,PiRFLow,PiRFHigh,KRFLow,KRFHigh,pRFLow,pRFHigh
5017,5017,4.008,0.25,2,6,0,0.23,0.54,-0.04,1.5,2.5,0.75,1.75,0,0.75
5018,5018,4.008,0.25,2,6,0,0.19,0.31,-0.04,1.5,2.5,0.75,1.75,0,0.75
5019,5019,4.008,0.25,2,6,0,0.24,0.27,-0.04,1.5,2.5,0.75,1.75,0,0.75
5020,5020,4.008,0.25,2,6,0,0.21,0.32,-0.04,1.5,2.5,0.75,1.75,0,0.75
5021,5021,4.008,0.25,2,6,0,0.21,0.39,-0.04,1.5,2.5,0.75,1.75,0,0.75
5022,5022,4.008,0.25,2,6,0,0.2,0.25,-0.04,1.5,2.5,0.75,1.75,0,0.75
5023,5023,4.008,0.25,2,6,0,0.23,0.42,-0.04,1.5,2.5,0.75,1.75,0,0.75
5024,5024,4.008,0.25,2,6,0,0.2,0.24,-0.04,1.5,2.5,0.75,1.75,0,0.75
5025,5025,4.008,0.25,2,6,0,0.21,0.33,-0.04,1.5,2.5,0.75,1.75,0,0.75
5026,5026,4.008,0.25,2,6,0,0.15,0.32,-0.04,1.5,2.5,0.75,1.75,0,0.75
5027,5027,4.008,0.25,2,6,0,0.15,0.25,-0.04,1.5,2.5,0.75,1.75,0,0.75
5028,5030,4.008,0.25,2,6,0,0.15,0.25,-0.04,1.5,2.5,0.75,1.75,0,0.75
5029,5029,4.008,0.25,2,6,0,0.44,0.12,-0.04,1.5,2.5,0.75,1.75,0,0.75
5030,5030,4.008,0.25,2,6,0,0.45,0.49,-0.04,1.5,2.5,0.75,1.75,0,0.75
5031,5031,4.008,0.25,2,6,0,0.2,0.26,-0.04,1.5,2.5,0.75,1.75,0,0.75
5032,5032,4.008,0.25,2,6,0,0.22,0.37,-0.04,1.5,2.5,0.75,1.75,0,0.75
5033,5033,4.008,0.25,2,6,0,0.22,0.35,-0.04,1.5,2.5,0.75,1.75,0,0.75
5038,5038,4.008,0.25,2,6,0,0.19,0.35,0.75,1.5,2.5,0.75,1.75,0,0.75
5039,5039,4.008,0.25,2,6,0,0.15,0.26,0.75,1.5,2.5,0.75,1.75,0,0.75
5040,5040,4.008,0.25,2,6,0,0.16,0.6,0.75,1.5,2.5,0.75,1.75,0,0.75
5041,5041,4.008,0.25,2,6,0,0.01,0.24,0.75,1.5,2.5,0.75,1.75,0,0.75
5042,5042,4.008,0.25,2,6,0,0.07,0.13,0.75,1.5,2.5,0.75,1.75,0,0.75
5044,5044,4.008,0.25,2,6,0,0.11,0.06,0.75,1.5,2.5,0.75,1.75,0,0.75
5045,5045,4.008,0.25,2,6,0,0.13,0.27,0.75,1.5,2.5,0.75,1.75,0,0.75
5046,5046,4.008,0.25,2,6,0,0.12,0.3,0.75,1.5,2.5,0.75,1.75,0,0.75
5047,5047,4.008,0.25,2,6,0,0.11,0.17,-1.25,1.5,2.5,0.75,1.75,0,0.75
5048,5048,4.008,0.25,2,6,0,0.22,0.36,-1.25,1.5,2.5,0.75,1.75,0,0.75
