Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_higheps_center,5,0.354,0.5,4,72,96,2753.0,0.9283046862426353,0.018010179582341024,1.9401151205255922
Q3p85_W2p62_t0p21_higheps_center,5,0.354,0.5,5,96,120,2745.0,0.9220749612947128,0.01787213924411125,1.9382523107466718
Q3p85_W2p62_t0p21_higheps_center,5,0.354,0.5,6,120,144,1039.0,0.35968867234262747,0.011336837805723764,3.15184732726992
Q3p85_W2p62_t0p21_higheps_center,5,0.354,0.5,7,144,168,327.0,0.12155044393208443,0.006826422770322761,5.616123273179474
Q3p85_W2p62_t0p21_higheps_center,5,0.354,0.5,8,168,192,186.0,0.07100590983603383,0.0052734686159408815,7.426802400135883
Q3p85_W2p62_t0p21_higheps_center,5,0.354,0.5,9,192,216,332.0,0.12361114893477328,0.006877090443046675,5.563487195378756
Q3p85_W2p62_t0p21_higheps_center,5,0.354,0.5,10,216,240,1007.0,0.3488052999818589,0.01117303381899299,3.2032293716792983
Q3p85_W2p62_t0p21_higheps_center,5,0.354,0.5,11,240,264,2786.0,0.9448536816720453,0.018167993581314202,1.9228367242178177
Q3p85_W2p62_t0p21_higheps_center,5,0.354,0.5,12,264,288,2650.0,0.9032129486008984,0.017860381384637854,1.9774275172099862
Q3p85_W2p62_t0p21_higheps_center,5,0.354,0.5,13,288,312,462.0,0.18509703569044536,0.008803995376465219,4.756421594556999
Q3p85_W2p62_t0p21_higheps_center,5,0.354,0.5,14,312,336,35.0,0.017964099768721403,0.0030728605743598775,17.105563952112192
Q3p85_W2p62_t0p21_higheps_center,5,0.354,0.5,15,336,360,19.0,0.009732985032940327,0.0022537081794548157,23.15536468850371
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.236,1,0,24,487.0,0.2724246786249948,0.012412814984311812,4.556420896580602
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.236,2,24,48,357.0,0.20161886455911476,0.010708320927450835,5.311170138204577
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.236,3,48,72,79.0,0.04623046076253962,0.005215245273424552,11.280971868769361
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.236,4,72,96,5.0,0.003044172331180764,0.0013623948667275164,44.754196494489356
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.236,5,96,120,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.236,6,120,144,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.236,7,144,168,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.236,8,168,192,1.0,0.0006509561672982676,0.0006509561672982676,100.0
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.236,9,192,216,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.236,10,216,240,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.236,11,240,264,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.236,12,264,288,3.0,0.0019411319091007804,0.00112203170079109,57.802959991053136
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.236,13,288,312,69.0,0.04046880381001478,0.004882390592035712,12.064578471250663
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.236,14,312,336,328.0,0.186804003976882,0.01035469659887944,5.5430806505415635
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.236,15,336,360,550.0,0.3052199873734576,0.013087841860119697,4.288002883672826
Q3p85_W2p62_t0p21_higheps_left,2,0.236,0.272,1,0,24,1028.0,0.473006003511806,0.014873548371246931,3.144473486767424
Q3p85_W2p62_t0p21_higheps_left,2,0.236,0.272,2,24,48,923.0,0.4481686756808681,0.014831270325474709,3.30930543125146
Q3p85_W2p62_t0p21_higheps_left,2,0.236,0.272,3,48,72,508.0,0.26136322681426477,0.01163143394062946,4.450294742073729
Q3p85_W2p62_t0p21_higheps_left,2,0.236,0.272,4,72,96,82.0,0.043419452270042146,0.004805255976166426,11.0670580233963
Q3p85_W2p62_t0p21_higheps_left,2,0.236,0.272,5,96,120,4.0,0.0020923877801166985,0.0010466777566120055,50.023125089825804
Q3p85_W2p62_t0p21_higheps_left,2,0.236,0.272,6,120,144,2.0,0.0010702178459635232,0.0007569627583398689,70.72978283765872
Q3p85_W2p62_t0p21_higheps_left,2,0.236,0.272,7,144,168,2.0,0.0011260636870512523,0.0007986212434515379,70.92149872471548
Q3p85_W2p62_t0p21_higheps_left,2,0.236,0.272,8,168,192,1.0,0.0005216552898127702,0.0005216552898127702,100.0
Q3p85_W2p62_t0p21_higheps_left,2,0.236,0.272,9,192,216,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,2,0.236,0.272,10,216,240,1.0,0.0005573117248127346,0.0005573117248127346,100.0
Q3p85_W2p62_t0p21_higheps_left,2,0.236,0.272,11,240,264,7.0,0.003812117060958321,0.0014427448732218782,37.84628987387888
